# Week 4 — the words that separate a confident speaker from a fluent one, and
# the spellings that survive to the final exam: -ance/-ence, -ery/-ary/-ory,
# the doubled consonants nobody hears, and the borrowings that keep foreign spelling.
cemetery|ˈsemətri|ce-me-te-ry|সেমেট্রি|কবরস্থান|noun|soft_c|964|cemetary,cematery|review
territory|ˈterətri|ter-ri-to-ry|টেরিটরি|অঞ্চল|noun|y_to_i|965|teritory,territry|review
directory|dəˈrektəri|di-rec-to-ry|ডিরেক্টরি|তালিকা|noun|y_to_i|966|directry,directary|review
inventory|ˈɪnvəntri|in-ven-to-ry|ইনভেনটরি|মজুদ তালিকা|noun|no_final_v|967|inventry,inventary|review
boundary|ˈbaʊndri|boun-da-ry|বাউনডারি|সীমানা|noun|y_to_i|968|boundry,boundery|review
February|ˈfebruəri|Feb-ru-a-ry|ফেব্রুয়ারি|ফেব্রুয়ারি|noun|y_to_i|969|febuary,feburary|review
January|ˈdʒænjuəri|Ja-nu-a-ry|জানুয়ারি|জানুয়ারি|noun|soft_g|970|janurary,januray
Wednesday|ˈwenzdeɪ|Wed-nes-day|ওয়েনজডে|বুধবার|noun|silent_letters|971|wenesday,wendsday
Tuesday|ˈtjuːzdeɪ|Tues-day|টিউজডে|মঙ্গলবার|noun||972|teusday,tusday
Thursday|ˈθɜːzdeɪ|Thurs-day|থার্সডে|বৃহস্পতিবার|noun||973|thersday,thusday
Saturday|ˈsætədeɪ|Sa-tur-day|স্যাটারডে|শনিবার|noun||974|saterday,satarday
receipt|rɪˈsiːt|re-ceipt|রিসিট|রসিদ|noun|i_before_e|975|reciept,receit
constitution|ˌkɒnstɪˈtjuːʃn|cons-ti-tu-tion|কনস্টিটিউশন|সংবিধান|noun|tion_sion|976|constitusion,consitution
parliament|ˈpɑːləmənt|par-lia-ment|পার্লামেন্ট|সংসদ|noun||977|parliment,parlament
democracy|dɪˈmɒkrəsi|de-mo-cra-cy|ডেমোক্রেসি|গণতন্ত্র|noun|soft_c|978|democrasy,democracey
economy|ɪˈkɒnəmi|e-co-no-my|ইকোনমি|অর্থনীতি|noun|y_to_i|979|economey,ecconomy
economic|ˌiːkəˈnɒmɪk|e-co-no-mic|ইকোনমিক|অর্থনৈতিক|adjective|soft_c|980|ecconomic,economik
politics|ˈpɒlətɪks|po-li-tics|পলিটিক্স|রাজনীতি|noun||981|poltics,politiks
political|pəˈlɪtɪkl|po-li-ti-cal|পলিটিক্যাল|রাজনৈতিক|adjective||982|politcal,politicle
leisure|ˈleʒə|lei-sure|লেজার|অবসর|noun|i_before_e|983|liesure,leasure
heritage|ˈherɪtɪdʒ|he-ri-tage|হেরিটেজ|ঐতিহ্য|noun|soft_g|984|heritege,heritaje
literature|ˈlɪtrətʃə|li-te-ra-ture|লিটারেচার|সাহিত্য|noun||985|literatur,litrature|review
philosophy|fəˈlɒsəfi|phi-lo-so-phy|ফিলোসফি|দর্শন|noun|y_to_i|986|filosophy,philosphy
psychology|saɪˈkɒlədʒi|psy-cho-lo-gy|সাইকোলজি|মনোবিজ্ঞান|noun|soft_g|987|psycology,sychology
geography|dʒiˈɒɡrəfi|ge-o-gra-phy|জিওগ্রাফি|ভূগোল|noun|soft_g|988|geografy,geograhpy
mathematics|ˌmæθəˈmætɪks|ma-the-ma-tics|ম্যাথমেটিক্স|গণিত|noun||989|mathamatics,mathmatics
physics|ˈfɪzɪks|phy-sics|ফিজিক্স|পদার্থবিজ্ঞান|noun||990|fysics,phisics
chemistry|ˈkemɪstri|che-mis-try|কেমিস্ট্রি|রসায়ন|noun|y_to_i|991|chemistery,kemistry
biology|baɪˈɒlədʒi|bio-lo-gy|বায়োলজি|জীববিজ্ঞান|noun|soft_g|992|bilogy,biolgy
prescription|prɪˈskrɪpʃn|pres-crip-tion|প্রেসক্রিপশন|ব্যবস্থাপত্র|noun|tion_sion|993|priscription,prescripsion
surgery|ˈsɜːdʒəri|sur-ge-ry|সার্জারি|শল্যচিকিৎসা|noun|soft_g|994|surgary,surjery
treatment|ˈtriːtmənt|treat-ment|ট্রিটমেন্ট|চিকিৎসা|noun||995|treatmant,tretment
symptom|ˈsɪmptəm|symp-tom|সিমটম|লক্ষণ|noun||996|symtom,simptom
accommodation|əˌkɒməˈdeɪʃn|ac-com-mo-da-tion|অ্যাকোমোডেশন|আবাসন|noun|tion_sion|997|acommodation,accomodation
occurrence|əˈkʌrəns|oc-cur-rence|অকারেন্স|ঘটনা|noun|soft_c|998|occurence,ocurrence
embarrass|ɪmˈbærəs|em-bar-rass|এমব্যারাস|বিব্রত করা|verb|floss_doubling|999|embarass,embarras
harass|ˈhærəs|ha-rass|হ্যারাস|উত্ত্যক্ত করা|verb|floss_doubling|1000|harrass,haras
possession|pəˈzeʃn|pos-ses-sion|পজেশন|অধিকার|noun|tion_sion|1001|posession,possesion
profession|prəˈfeʃn|pro-fes-sion|প্রফেশন|পেশা|noun|tion_sion|1002|profesion,professon
professional|prəˈfeʃənl|pro-fes-sio-nal|প্রফেশনাল|পেশাদার|adjective|tion_sion|1003|profesional,professonal
occupation|ˌɒkjuˈpeɪʃn|oc-cu-pa-tion|অকুপেশন|পেশা|noun|tion_sion|1004|ocupation,occupasion
qualification|ˌkwɒlɪfɪˈkeɪʃn|qua-li-fi-ca-tion|কোয়ালিফিকেশন|যোগ্যতা|noun|q_takes_u|1005|qualifcation,qualificasion
certificate|səˈtɪfɪkət|cer-ti-fi-cate|সার্টিফিকেট|সনদ|noun|soft_c|1006|certifcate,sertificate
application|ˌæplɪˈkeɪʃn|ap-pli-ca-tion|অ্যাপ্লিকেশন|আবেদন|noun|tion_sion|1007|aplication,applicasion
recommendation|ˌrekəmenˈdeɪʃn|re-com-men-da-tion|রেকমেনডেশন|সুপারিশ|noun|tion_sion|1008|recomendation,reccomendation
communication|kəˌmjuːnɪˈkeɪʃn|com-mu-ni-ca-tion|কমিউনিকেশন|যোগাযোগ|noun|tion_sion|1009|comunication,communicasion
organisation|ˌɔːɡənaɪˈzeɪʃn|or-ga-ni-sa-tion|অর্গানাইজেশন|সংগঠন|noun|tion_sion|1010|organisaton,organization
administration|ədˌmɪnɪˈstreɪʃn|ad-mi-nis-tra-tion|অ্যাডমিনিস্ট্রেশন|প্রশাসন|noun|tion_sion|1011|adminstration,administrasion
registration|ˌredʒɪˈstreɪʃn|re-gis-tra-tion|রেজিস্ট্রেশন|নিবন্ধন|noun|soft_g|1012|registraton,rejistration
examination|ɪɡˌzæmɪˈneɪʃn|e-xa-mi-na-tion|এক্সামিনেশন|পরীক্ষা|noun|tion_sion|1013|examinaton,examinasion
preparation|ˌprepəˈreɪʃn|pre-pa-ra-tion|প্রিপারেশন|প্রস্তুতি|noun|tion_sion|1014|preperation,preparasion
presentation|ˌpreznˈteɪʃn|pre-sen-ta-tion|প্রেজেনটেশন|উপস্থাপনা|noun|tion_sion|1015|presentaton,presantation
concentration|ˌkɒnsnˈtreɪʃn|con-cen-tra-tion|কনসেনট্রেশন|মনোযোগ|noun|soft_c|1016|concentraton,consentration
imagination|ɪˌmædʒɪˈneɪʃn|i-ma-gi-na-tion|ইমাজিনেশন|কল্পনা|noun|soft_g|1017|imaginaton,imajination
determination|dɪˌtɜːmɪˈneɪʃn|de-ter-mi-na-tion|ডিটারমিনেশন|সংকল্প|noun|tion_sion|1018|determinaton,determinasion
consideration|kənˌsɪdəˈreɪʃn|con-si-de-ra-tion|কনসিডারেশন|বিবেচনা|noun|soft_c|1019|consideraton,considration
appreciation|əˌpriːʃiˈeɪʃn|ap-pre-cia-tion|অ্যাপ্রিসিয়েশন|প্রশংসা|noun|tion_sion|1020|apreciation,appreciaton
satisfaction|ˌsætɪsˈfækʃn|sa-tis-fac-tion|স্যাটিসফ্যাকশন|সন্তুষ্টি|noun|tion_sion|1021|satisfacton,satisfaksion
frustration|frʌˈstreɪʃn|frus-tra-tion|ফ্রাসট্রেশন|হতাশা|noun|tion_sion|1022|frustraton,frustrasion
disappointment|ˌdɪsəˈpɔɪntmənt|dis-ap-point-ment|ডিসঅ্যাপয়েন্টমেন্ট|হতাশা|noun|prefix_keeps_root|1023|dissapointment,disapointment
encouragement|ɪnˈkʌrɪdʒmənt|en-cou-rage-ment|এনকারেজমেন্ট|উৎসাহ|noun|soft_g|1024|encoragement,encouragment
announcement|əˈnaʊnsmənt|an-nounce-ment|অ্যানাউনসমেন্ট|ঘোষণা|noun|soft_c|1025|anouncement,announcment
advertisement|ədˈvɜːtɪsmənt|ad-ver-tise-ment|অ্যাডভার্টিজমেন্ট|বিজ্ঞাপন|noun|drop_silent_e|1026|advertisment,advertizement
entertainment|ˌentəˈteɪnmənt|en-ter-tain-ment|এনটারটেইনমেন্ট|বিনোদন|noun||1027|enterainment,entertainmant
establishment|ɪˈstæblɪʃmənt|es-ta-blish-ment|এসট্যাবলিশমেন্ট|প্রতিষ্ঠান|noun||1028|establishmant,establishmnet
requirement|rɪˈkwaɪəmənt|re-quire-ment|রিকোয়ারমেন্ট|প্রয়োজনীয়তা|noun|q_takes_u|1029|requirment,requiremant
retirement|rɪˈtaɪəmənt|re-tire-ment|রিটায়ারমেন্ট|অবসর|noun|drop_silent_e|1030|retirment,retiremant
settlement|ˈsetlmənt|set-tle-ment|সেটেলমেন্ট|নিষ্পত্তি|noun||1031|settlment,setlement
punishment|ˈpʌnɪʃmənt|pu-nish-ment|পানিশমেন্ট|শাস্তি|noun||1032|punishmant,punushment
excitement|ɪkˈsaɪtmənt|ex-cite-ment|এক্সাইটমেন্ট|উত্তেজনা|noun|drop_silent_e|1033|excitment,exitement
amendment|əˈmendmənt|a-mend-ment|অ্যামেন্ডমেন্ট|সংশোধনী|noun||1034|amendmant,ammendment
comfort|ˈkʌmfət|com-fort|কমফোর্ট|আরাম|noun||1035|comfert,confort
discomfort|dɪsˈkʌmfət|dis-com-fort|ডিসকমফোর্ট|অস্বস্তি|noun|prefix_keeps_root|1036|discomfert,discomfrot
strength|streŋθ|strength|স্ট্রেংথ|শক্তি|noun||1037|stength,strengh
length|leŋθ|length|লেংথ|দৈর্ঘ্য|noun||1038|lenght,legth
width|wɪdθ|width|উইডথ|প্রস্থ|noun||1039|widht,wideth
depth|depθ|depth|ডেপথ|গভীরতা|noun||1040|deapth,deph
growth|ɡrəʊθ|growth|গ্রোথ|বৃদ্ধি|noun||1041|groth,growht
truth|truːθ|truth|ট্রুথ|সত্য|noun||1042|truthh,trueth
youth|juːθ|youth|ইউথ|যৌবন|noun||1043|yuth,youht
wealth|welθ|wealth|ওয়েলথ|সম্পদ|noun||1044|welth,wealht
breath|breθ|breath|ব্রেথ|নিঃশ্বাস|noun||1045|breth,breathe
breathe|briːð|breathe|ব্রিদ|শ্বাস নেওয়া|verb|drop_silent_e|1046|breath,breeth
clothes|kləʊðz|clothes|ক্লোদজ|জামাকাপড়|noun|silent_letters|1047|cloths,clothse
cloth|klɒθ|cloth|ক্লথ|কাপড়|noun||1048|clothe,clott
smooth|smuːð|smooth|স্মুদ|মসৃণ|adjective||1049|smoth,smoothe
southern|ˈsʌðn|sou-thern|সাদার্ন|দক্ষিণী|adjective||1050|southren,suthern
northern|ˈnɔːðn|nor-thern|নর্দার্ন|উত্তরী|adjective||1051|northren,nothern
eastern|ˈiːstn|eas-tern|ইস্টার্ন|পূর্বী|adjective||1052|eastren,easten
western|ˈwestn|wes-tern|ওয়েস্টার্ন|পশ্চিমী|adjective||1053|westren,westen
queue|kjuː|queue|কিউ|সারি|noun|q_takes_u|1054|que,queu
bureau|ˈbjʊərəʊ|bu-reau|বিউরো|দপ্তর|noun||1055|burau,bureu
plateau|ˈplætəʊ|pla-teau|প্লাটো|মালভূমি|noun||1056|platoe,plateu
souvenir|ˌsuːvəˈnɪə|sou-ve-nir|সুভেনির|স্মারক|noun|no_final_v|1057|souvenier,suvenir
boutique|buːˈtiːk|bou-tique|বুটিক|বুটিক|noun|q_takes_u|1058|boutic,botique
technique|tekˈniːk|tech-nique|টেকনিক|কৌশল|noun|q_takes_u|1059|technic,tecnique
unique|juˈniːk|u-nique|ইউনিক|অনন্য|adjective|q_takes_u|1060|uniqe,unic
antique|ænˈtiːk|an-tique|অ্যান্টিক|প্রাচীন জিনিস|noun|q_takes_u|1061|antic,antiqe
cheque|tʃek|cheque|চেক|চেক|noun|q_takes_u|1062|check,chequ
opaque|əʊˈpeɪk|o-paque|ওপেক|অস্বচ্ছ|adjective|q_takes_u|1063|opaqe,opake
colleague|ˈkɒliːɡ|col-league|কলিগ|সহকর্মী|noun|silent_letters|1064|colegue,colleage
league|liːɡ|league|লিগ|সংঘ|noun|silent_letters|1065|leage,legue
tongue|tʌŋ|tongue|টাং|জিহ্বা|noun|silent_letters|1066|tounge,tung
dialogue|ˈdaɪəlɒɡ|dia-logue|ডায়ালগ|সংলাপ|noun|silent_letters|1067|dialoge,dailogue
catalogue|ˈkætəlɒɡ|ca-ta-logue|ক্যাটালগ|তালিকা|noun|silent_letters|1068|cataloge,catologue
vague|veɪɡ|vague|ভেগ|অস্পষ্ট|adjective|silent_letters|1069|vage,vaugue
plague|pleɪɡ|plague|প্লেগ|মহামারি|noun|silent_letters|1070|plage,plauge
rhythm|ˈrɪðəm|rhy-thm|রিদম|ছন্দ|noun|silent_letters|1071|rythm,rhythem
rhyme|raɪm|rhyme|রাইম|মিল|noun|silent_letters|1072|ryme,rhym
chaos|ˈkeɪɒs|cha-os|কেওস|বিশৃঙ্খলা|noun|silent_letters|1073|kaos,chaose
scheme|skiːm|scheme|স্কিম|পরিকল্পনা|noun|silent_letters|1074|skeme,schem
schedule|ˈʃedjuːl|sche-dule|শেডিউল|সময়সূচি|noun|silent_letters|1075|schedual,shedule
orchestra|ˈɔːkɪstrə|or-ches-tra|অর্কেস্ট্রা|বাদ্যদল|noun|silent_letters|1076|orkestra,orchestar
architect|ˈɑːkɪtekt|ar-chi-tect|আর্কিটেক্ট|স্থপতি|noun|silent_letters|1077|architec,arkitect
mechanic|məˈkænɪk|me-cha-nic|মেকানিক|মিস্ত্রি|noun|soft_c|1078|mecanic,mechenic
stomach|ˈstʌmək|sto-mach|স্টমাক|পাকস্থলী|noun|silent_letters|1079|stomache,stumach
ache|eɪk|ache|এক|ব্যথা|noun|silent_letters|1080|ake,ach
echo|ˈekəʊ|e-cho|একো|প্রতিধ্বনি|noun|silent_letters|1081|eco,ecoh
chorus|ˈkɔːrəs|cho-rus|কোরাস|সমবেত গান|noun|silent_letters|1082|corus,chorous
anchor|ˈæŋkə|an-chor|অ্যাংকর|নোঙর|noun|silent_letters|1083|ancor,anchour
monarch|ˈmɒnək|mo-narch|মোনার্ক|রাজা|noun|silent_letters|1084|monark,monarc
technical|ˈteknɪkl|tech-ni-cal|টেকনিক্যাল|কারিগরি|adjective|silent_letters|1085|tecnical,technicle
chemical|ˈkemɪkl|che-mi-cal|কেমিক্যাল|রাসায়নিক|adjective|silent_letters|1086|chemicle,kemical
mechanical|məˈkænɪkl|me-cha-ni-cal|মেকানিক্যাল|যান্ত্রিক|adjective|silent_letters|1087|mecanical,mechanicle
psychological|ˌsaɪkəˈlɒdʒɪkl|psy-cho-lo-gi-cal|সাইকোলজিক্যাল|মানসিক|adjective|soft_g|1088|sychological,psycological
physical|ˈfɪzɪkl|phy-si-cal|ফিজিক্যাল|শারীরিক|adjective||1089|fysical,phisical
practical|ˈpræktɪkl|prac-ti-cal|প্র্যাকটিক্যাল|ব্যবহারিক|adjective||1090|practicle,practicall
theoretical|ˌθɪəˈretɪkl|the-o-re-ti-cal|থিওরেটিক্যাল|তাত্ত্বিক|adjective||1091|theoritical,theoreticle
critical|ˈkrɪtɪkl|cri-ti-cal|ক্রিটিক্যাল|সংকটপূর্ণ|adjective|soft_c|1092|criticle,critcal
logical|ˈlɒdʒɪkl|lo-gi-cal|লজিক্যাল|যৌক্তিক|adjective|soft_g|1093|logicle,lojical
typical|ˈtɪpɪkl|ty-pi-cal|টিপিক্যাল|সাধারণ|adjective||1094|typicle,tipical
medical|ˈmedɪkl|me-di-cal|মেডিক্যাল|চিকিৎসা-সংক্রান্ত|adjective|soft_c|1095|medicle,medcal
electrical|ɪˈlektrɪkl|e-lec-tri-cal|ইলেকট্রিক্যাল|বৈদ্যুতিক|adjective|soft_c|1096|electricle,electical
historical|hɪˈstɒrɪkl|his-to-ri-cal|হিসটোরিক্যাল|ঐতিহাসিক|adjective||1097|historicle,histrical
tropical|ˈtrɒpɪkl|tro-pi-cal|ট্রপিক্যাল|ক্রান্তীয়|adjective||1098|tropicle,trapical
musical|ˈmjuːzɪkl|mu-si-cal|মিউজিক্যাল|সাংগীতিক|adjective|soft_c|1099|musicle,muzical
magical|ˈmædʒɪkl|ma-gi-cal|ম্যাজিক্যাল|জাদুকরী|adjective|soft_g|1100|magicle,majical
reliable|rɪˈlaɪəbl|re-lia-ble|রিলায়েবল|নির্ভরযোগ্য|adjective|able_ible|1101|reliible,relyable
remarkable|rɪˈmɑːkəbl|re-mar-ka-ble|রিমার্কেবল|উল্লেখযোগ্য|adjective|able_ible|1102|remarkible,remarcable
flexible|ˈfleksəbl|fle-xi-ble|ফ্লেক্সিবল|নমনীয়|adjective|able_ible|1103|flexable,flexibel
incredible|ɪnˈkredəbl|in-cre-di-ble|ইনক্রেডিবল|অবিশ্বাস্য|adjective|able_ible|1104|incredable,increadible
invisible|ɪnˈvɪzəbl|in-vi-si-ble|ইনভিজিবল|অদৃশ্য|adjective|able_ible|1105|invisable,invizible
compatible|kəmˈpætəbl|com-pa-ti-ble|কমপ্যাটিবল|সামঞ্জস্যপূর্ণ|adjective|able_ible|1106|compatable,compatibel
accessible|əkˈsesəbl|ac-ces-si-ble|অ্যাকসেসিবল|প্রবেশযোগ্য|adjective|able_ible|1107|accessable,acessible
eligible|ˈelɪdʒəbl|e-li-gi-ble|এলিজিবল|যোগ্য|adjective|soft_g|1108|eligable,elijible
legible|ˈledʒəbl|le-gi-ble|লেজিবল|পাঠযোগ্য|adjective|soft_g|1109|legable,lejible
edible|ˈedəbl|e-di-ble|এডিবল|ভোজ্য|adjective|able_ible|1110|edable,edibel
audible|ˈɔːdəbl|au-di-ble|অডিবল|শ্রবণযোগ্য|adjective|able_ible|1111|audable,audibel
analyse|ˈænəlaɪz|a-na-lyse|অ্যানালাইজ|বিশ্লেষণ করা|verb|drop_silent_e|1112|analyze,analize
analysis|əˈnæləsɪs|a-na-ly-sis|অ্যানালাইসিস|বিশ্লেষণ|noun||1113|analisis,analysys
emphasis|ˈemfəsɪs|em-pha-sis|এমফাসিস|জোর|noun||1114|emphasys,emfasis
emphasise|ˈemfəsaɪz|em-pha-sise|এমফাসাইজ|জোর দেওয়া|verb|drop_silent_e|1115|emphasize,emfasise
summarise|ˈsʌməraɪz|sum-ma-rise|সামারাইজ|সংক্ষেপ করা|verb|drop_silent_e|1116|summarize,summerise
summary|ˈsʌməri|sum-ma-ry|সামারি|সারসংক্ষেপ|noun|y_to_i|1117|summery,summry|review
conclude|kənˈkluːd|con-clude|কনক্লুড|উপসংহার টানা|verb|drop_silent_e|1118|conclud,conclued
assume|əˈsjuːm|as-sume|অ্যাসিউম|ধরে নেওয়া|verb|drop_silent_e|1119|assum,asume
consider|kənˈsɪdə|con-si-der|কনসিডার|বিবেচনা করা|verb||1120|considar,concider
presume|prɪˈzjuːm|pre-sume|প্রিজিউম|অনুমান করা|verb|drop_silent_e|1121|presum,prezume
determine|dɪˈtɜːmɪn|de-ter-mine|ডিটারমিন|নির্ধারণ করা|verb|drop_silent_e|1122|determin,determaine
establish|ɪˈstæblɪʃ|es-ta-blish|এসট্যাবলিশ|প্রতিষ্ঠা করা|verb|plural_es|1123|estabish,establsh
maintain|meɪnˈteɪn|main-tain|মেইনটেইন|বজায় রাখা|verb||1124|maintian,maintane
obtain|əbˈteɪn|ob-tain|অবটেইন|লাভ করা|verb||1125|obtian,obtane
contain|kənˈteɪn|con-tain|কনটেইন|ধারণ করা|verb||1126|contian,contane
remain|rɪˈmeɪn|re-main|রিমেইন|থেকে যাওয়া|verb||1127|remian,remane
sustain|səˈsteɪn|sus-tain|সাসটেইন|টিকিয়ে রাখা|verb||1128|sustian,sustane
complain|kəmˈpleɪn|com-plain|কমপ্লেইন|অভিযোগ করা|verb||1129|complian,complane
entertain|ˌentəˈteɪn|en-ter-tain|এনটারটেইন|বিনোদন দেওয়া|verb||1130|entertian,entertane
certain|ˈsɜːtn|cer-tain|সার্টেন|নিশ্চিত|adjective|soft_c|1131|certian,sertain
uncertain|ʌnˈsɜːtn|un-cer-tain|আনসার্টেন|অনিশ্চিত|adjective|prefix_keeps_root|1132|uncertian,unsertain
captain|ˈkæptɪn|cap-tain|ক্যাপ্টেন|অধিনায়ক|noun||1133|captian,capten
curtain|ˈkɜːtn|cur-tain|কার্টেন|পর্দা|noun||1134|curtian,curten
bargain|ˈbɑːɡɪn|bar-gain|বার্গেইন|দরদাম|noun||1135|bargian,bargin
villain|ˈvɪlən|vil-lain|ভিলেন|খলনায়ক|noun||1136|villian,vilain
fountain|ˈfaʊntɪn|foun-tain|ফাউনটেন|ঝর্ণা|noun||1137|fountian,founten
chieftain|ˈtʃiːftɪn|chief-tain|চিফটেন|সর্দার|noun|i_before_e|1138|cheiftain,chieften
proceed|prəˈsiːd|pro-ceed|প্রসিড|এগিয়ে যাওয়া|verb|soft_c|1139|procede,proseed
exceed|ɪkˈsiːd|ex-ceed|এক্সিড|অতিক্রম করা|verb|soft_c|1140|excede,exseed
precede|prɪˈsiːd|pre-cede|প্রিসিড|আগে আসা|verb|soft_c|1141|preceed,presede
recede|rɪˈsiːd|re-cede|রিসিড|পিছিয়ে যাওয়া|verb|soft_c|1142|receed,resede
concede|kənˈsiːd|con-cede|কনসিড|স্বীকার করা|verb|soft_c|1143|conceed,consede
interfere|ˌɪntəˈfɪə|in-ter-fere|ইনটারফিয়ার|হস্তক্ষেপ করা|verb|drop_silent_e|1144|interfeer,intefere
interrupt|ˌɪntəˈrʌpt|in-ter-rupt|ইনটারাপ্ট|বাধা দেওয়া|verb||1145|interupt,intrupt
interpret|ɪnˈtɜːprɪt|in-ter-pret|ইনটারপ্রেট|ব্যাখ্যা করা|verb||1146|interprete,intepret
introduce|ˌɪntrəˈdjuːs|in-tro-duce|ইনট্রোডিউস|পরিচয় করানো|verb|soft_c|1147|introduse,intoduce
translate|trænzˈleɪt|trans-late|ট্রান্সলেট|অনুবাদ করা|verb|drop_silent_e|1148|tranlate,translat
transfer|trænsˈfɜː|trans-fer|ট্রান্সফার|স্থানান্তর করা|verb|doubling_1_1_1|1149|tranfer,transfar
transform|trænsˈfɔːm|trans-form|ট্রান্সফর্ম|রূপান্তর করা|verb||1150|tranform,transfrom
transmit|trænzˈmɪt|trans-mit|ট্রান্সমিট|প্রেরণ করা|verb|doubling_1_1_1|1151|tranmit,transmitt
permit|pəˈmɪt|per-mit|পারমিট|অনুমতি দেওয়া|verb|doubling_1_1_1|1152|permitt,parmit
admit|ədˈmɪt|ad-mit|অ্যাডমিট|স্বীকার করা|verb|doubling_1_1_1|1153|admitt,admet
commit|kəˈmɪt|com-mit|কমিট|প্রতিশ্রুতিবদ্ধ হওয়া|verb|doubling_1_1_1|1154|comit,committ
submit|səbˈmɪt|sub-mit|সাবমিট|জমা দেওয়া|verb|doubling_1_1_1|1155|submitt,sumbit
prefer|prɪˈfɜː|pre-fer|প্রিফার|পছন্দ করা|verb|doubling_1_1_1|1156|preffer,prefar
refer|rɪˈfɜː|re-fer|রিফার|উল্লেখ করা|verb|doubling_1_1_1|1157|reffer,refar
